frameCount	 n	 frameCond	 stimPosition	 experimentTime	 experimentInterval	 frameT	 interval
289	 289	 2	 479.0	 11.5996861458	 0.0400149822235	 11.6	 0.04
290	 290	 2	 468.0	 11.63966012	 0.0399739742279	 11.64	 0.04
291	 291	 2	 468.0	 11.67968297	 0.0400228500366	 11.68	 0.04
292	 292	 2	 456.0	 11.7196631432	 0.039980173111	 11.72	 0.04
293	 293	 2	 456.0	 11.7596490383	 0.0399858951569	 11.76	 0.04
294	 294	 2	 445.0	 11.7996771336	 0.0400280952454	 11.8	 0.04
295	 295	 2	 445.0	 11.8396589756	 0.039981842041	 11.84	 0.04
296	 296	 2	 434.0	 11.8796691895	 0.0400102138519	 11.88	 0.04
297	 297	 2	 434.0	 11.9196441174	 0.0399749279022	 11.92	 0.04
298	 298	 2	 423.0	 11.9596550465	 0.0400109291077	 11.96	 0.04
299	 299	 2	 423.0	 11.9996991158	 0.0400440692902	 12.0	 0.04
300	 300	 2	 411.0	 12.0396959782	 0.0399968624115	 12.04	 0.04
301	 301	 2	 411.0	 12.0797290802	 0.0400331020355	 12.08	 0.04
302	 302	 2	 400.0	 12.119685173	 0.0399560928345	 12.12	 0.04
303	 303	 2	 400.0	 12.1596670151	 0.039981842041	 12.16	 0.04
304	 304	 2	 389.0	 12.1997151375	 0.040048122406	 12.2	 0.04
305	 305	 2	 389.0	 12.2396681309	 0.0399529933929	 12.24	 0.04
306	 306	 2	 378.0	 12.2796990871	 0.0400309562683	 12.28	 0.04
307	 307	 2	 378.0	 12.3197050095	 0.0400059223175	 12.32	 0.04
308	 308	 2	 366.0	 12.3596529961	 0.0399479866028	 12.36	 0.04
309	 309	 2	 366.0	 12.3997740746	 0.0401210784912	 12.4	 0.04
310	 310	 2	 355.0	 12.4396560192	 0.0398819446564	 12.44	 0.04
311	 311	 2	 355.0	 12.4796659946	 0.0400099754333	 12.48	 0.04
312	 312	 2	 344.0	 12.5196640491	 0.0399980545044	 12.52	 0.04
313	 313	 2	 344.0	 12.5596470833	 0.0399830341339	 12.56	 0.04
314	 314	 2	 332.0	 12.5996551514	 0.0400080680847	 12.6	 0.04
315	 315	 2	 332.0	 12.6396410465	 0.0399858951569	 12.64	 0.04
316	 316	 2	 321.0	 12.679666996	 0.0400259494781	 12.68	 0.04
317	 317	 2	 321.0	 12.7196631432	 0.0399961471558	 12.72	 0.04
318	 318	 2	 310.0	 12.7596580982	 0.0399949550629	 12.76	 0.04
319	 319	 2	 310.0	 12.7996711731	 0.0400130748749	 12.8	 0.04
320	 320	 2	 299.0	 12.8396410942	 0.0399699211121	 12.84	 0.04
321	 321	 2	 299.0	 12.8796331882	 0.0399920940399	 12.88	 0.04
322	 322	 2	 287.0	 12.9196469784	 0.0400137901306	 12.92	 0.04
323	 323	 2	 287.0	 12.9596290588	 0.0399820804596	 12.96	 0.04
324	 324	 2	 276.0	 12.9996609688	 0.0400319099426	 13.0	 0.04
325	 325	 2	 276.0	 13.0396440029	 0.0399830341339	 13.04	 0.04
326	 326	 2	 265.0	 13.0796480179	 0.0400040149689	 13.08	 0.04
327	 327	 2	 265.0	 13.1196601391	 0.0400121212006	 13.12	 0.04
328	 328	 2	 254.0	 13.1596450806	 0.0399849414825	 13.16	 0.04
329	 329	 2	 254.0	 13.1996471882	 0.0400021076202	 13.2	 0.04
330	 330	 2	 242.0	 13.2396430969	 0.0399959087372	 13.24	 0.04
331	 331	 2	 242.0	 13.2796480656	 0.0400049686432	 13.28	 0.04
332	 332	 2	 231.0	 13.3196411133	 0.0399930477142	 13.32	 0.04
333	 333	 2	 231.0	 13.359621048	 0.0399799346924	 13.36	 0.04
334	 334	 2	 220.0	 13.3996601105	 0.0400390625	 13.4	 0.04
335	 335	 2	 220.0	 13.4396290779	 0.0399689674377	 13.44	 0.04
336	 336	 2	 208.0	 13.4796490669	 0.0400199890137	 13.48	 0.04
337	 337	 2	 208.0	 13.519659996	 0.0400109291077	 13.52	 0.04
338	 338	 2	 197.0	 13.559636116	 0.0399761199951	 13.56	 0.04
339	 339	 2	 197.0	 13.5996420383	 0.0400059223175	 13.6	 0.04
340	 340	 2	 186.0	 13.6396360397	 0.0399940013885	 13.64	 0.04
341	 341	 2	 186.0	 13.679623127	 0.0399870872498	 13.68	 0.04
342	 342	 2	 175.0	 13.7196409702	 0.0400178432465	 13.72	 0.04
343	 343	 2	 175.0	 13.7596280575	 0.0399870872498	 13.76	 0.04
344	 344	 2	 163.0	 13.7996401787	 0.0400121212006	 13.8	 0.04
